handle,fieldType,name,visible,plainDescription,categorySlugs,primaryCategorySlug,media,mediaAltText,ribbon,brand,price,strikethroughPrice,baseUnit,baseUnitMeasurement,totalUnits,totalUnitsMeasurement,cost,inventory,preOrderEnabled,preOrderMessage,preOrderLimit,sku,barcode,weight,packageLength,packageWidth,packageHeight,packageUnit,productOptionName1,productOptionType1,productOptionChoices1,productOptionName2,productOptionType2,productOptionChoices2,productOptionName3,productOptionType3,productOptionChoices3,productOptionName4,productOptionType4,productOptionChoices4,productOptionName5,productOptionType5,productOptionChoices5,productOptionName6,productOptionType6,productOptionChoices6,modifierName1,modifierType1,modifierCharLimit1,modifierMandatory1,modifierDescription1,modifierName2,modifierType2,modifierCharLimit2,modifierMandatory2,modifierDescription2,modifierName3,modifierType3,modifierCharLimit3,modifierMandatory3,modifierDescription3,modifierName4,modifierType4,modifierCharLimit4,modifierMandatory4,modifierDescription4,modifierName5,modifierType5,modifierCharLimit5,modifierMandatory5,modifierDescription5,modifierName6,modifierType6,modifierCharLimit6,modifierMandatory6,modifierDescription6,modifierName7,modifierType7,modifierCharLimit7,modifierMandatory7,modifierDescription7,modifierName8,modifierType8,modifierCharLimit8,modifierMandatory8,modifierDescription8,modifierName9,modifierType9,modifierCharLimit9,modifierMandatory9,modifierDescription9,modifierName10,modifierType10,modifierCharLimit10,modifierMandatory10,modifierDescription10
Product_20daee16-9e22-43fc-951b-5557ad1b4110,PRODUCT,Сыроедение - путь к бессмертию,true,"<p>В книге рассказано о фантастических результатах сыроедения, раскрыты механизмы, объясняющие&nbsp;феномены поразительного оздоровления и излечения от всевозможных неизлечимых болезней. Приведены случаи омоложения глубоких стариков с превращением их в молодых людей и даже юношей.</p>",в-поисках-сокровенного,,,,,,800,,,,,,,IN_STOCK,false,,,978-5-91898-001-9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Product_20daee16-9e22-43fc-951b-5557ad1b4110,MEDIA,,,,,,53e401_016633bdb34542e8a2bc40bd13427e59~mv2.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Product_0f1d0a13-d4fc-4e42-99a8-16ac75af9fcb,PRODUCT,Теория и практика Священных Рощ,true,"<p>Настоящее исследование проясняет влияние&nbsp; Священных Рощ на экологию, биосферу и общество.</p>",русская-волшебная-культура,,,,,,1000,,,,,,,IN_STOCK,false,,,978-5-91898-004-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Product_0f1d0a13-d4fc-4e42-99a8-16ac75af9fcb,MEDIA,,,,,,c6fba9_18e5392f3b3048e4972b196ef0c95008~mv2.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Product_68a60738-a5a6-4bde-bfc5-d396ad544d24,PRODUCT,Украденная история,true,"<p>По заявкам читателей, переиздана и дополнена книга ""Украденная история"".Книга ""Украденная история России, Европы, Азии и Америки"", входит в серию "" В поисках сокровенного"". Она является значительным дополнением книги ""Запрещённой истории России"". В ней представлены портретные сходства королей, канцлеров и президентов стран Европы, Америки и Азии с императорами и руководителями Российской империи из чего делается вывод, что Европа, Азия и Америка до 1913 года входили в состав Российской империи и окончательно выделились в ""самостоятельные"" государства только лишь после Первой мировой войны. Но развал Российской империи на этом не остановился. Он продолжался и после Февральской и Октябрьских революций, после Гражданской и 2-й мировой войны и продолжается до сих пор после так называемых оранжевых революций. Эта книга также о том, почему и как это происходит.&nbsp; Книга написана на основе Доклада ""История преступлений космических кураторов против Человечества и человечности"", подготовленный для членов ""Комиссии Космической Коалиции по планете Земля"".</p>",в-поисках-сокровенного;рекомендованные-для-учащихся-шж,,,,Переиздание,,1000,,,,,,0,IN_STOCK,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Product_68a60738-a5a6-4bde-bfc5-d396ad544d24,MEDIA,,,,,,53e401_2081ab2c96fb4f1ba2630f7772f8e436~mv2.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Product_0858b55a-f238-4c07-b388-0b5098380971,PRODUCT,Хроника великой Руссии,true,"<p>Хроника Великой Руссии объединяет ранее вышедшие книги автора ""Запрещенная история"" и ""Украденная история"". В книге приведены новые факты параллелей с греческой мифологией и историей.</p>",рекомендованные-для-учащихся-шж;в-поисках-сокровенного,,,,,,1500,,,,,,0,IN_STOCK,false,,,978-5-918-98-024-9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Product_0858b55a-f238-4c07-b388-0b5098380971,MEDIA,,,,,,53e401_c02458e88c19464c9ab86bd130dd59b5~mv2.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Product_61227e80-486d-466b-9454-1289428ebbf8,PRODUCT,Что может спасти Америку и Европу от неминуемой гибели?,true,"<p>Несмотря на то, что взрыв Йеллоустоунского супервулкана уничтожит не только Америку, но и всех людей на Земле, автор рассчитывает на благоразумие здоровых сил Человечества и их возможность принять последнюю разумную меру, способную замедлить надвигающуюся, неизбежную катастрофу (которая практически уже началась) и может быть даже спастись, погасив её. В надвигающейся неотвратимой гибели Человечества и Биосферы Земли, лучше хоть что-то попытаться сделать, чем пассивно ждать своего смертельного конца. Кто-то планирует отсидеться в подземных городах, специально выстроенных для случая глобальной катастрофы, но реальность сегодня такова, что спасутся или все, или не спасётся никто.</p>",глобальные-задачи-человечества,,,,,,200,,,,,,0,IN_STOCK,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Product_61227e80-486d-466b-9454-1289428ebbf8,MEDIA,,,,,,53e401_ad90c96c87374715bdcc5849fd5bcee0~mv2.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
